,Compound,Date,Negative,Neutral,News Outlet,Positive,Source Account,Tweets Ago,Tweets Text
5,0.0,Sat Apr 28 16:03:03 +0000 2018,1.0,0.0,@BBC,0.0,BBC,6,"⚖ BMI and obesity: Where are you on the UK fat scale? 

Try this calculator and see how you compare.
👉… https://t.co/dHecwNK6uG"
6,-0.7906,Sat Apr 28 15:00:23 +0000 2018,0.611,0.389,@BBC,0.0,BBC,7,Palm oil can destroy the habitats of orangutans - and poison your dog. https://t.co/8Pu4OmKRxh
7,0.0,Sat Apr 28 14:10:02 +0000 2018,1.0,0.0,@BBC,0.0,BBC,8,"🌈👀 Depending on what language you speak, your eye perceives colours – and the world – differently from someone else… https://t.co/bjyH9RnpP6"
8,0.0,Sat Apr 28 13:00:23 +0000 2018,1.0,0.0,@BBC,0.0,BBC,9,"⛷🦅 A test of speed and agility.
#SuperFastFalcon https://t.co/kywvTfrLMw"
9,0.0516,Sat Apr 28 12:00:21 +0000 2018,0.789,0.101,@BBC,0.11,BBC,10,"😕 People are getting surgery to look like their Snapchat selfies...

It’s called ‘Snapchat dysmorphia’ - and it’s o… https://t.co/skDno7F9a1"
10,0.0,Sat Apr 28 11:08:45 +0000 2018,1.0,0.0,@BBC,0.0,BBC,11,"RT @BBCOne: Every, single, week 🤦‍♀️ https://t.co/d15I1CG9Iy"
11,-0.2023,Sat Apr 28 11:00:17 +0000 2018,0.58,0.239,@BBC,0.181,BBC,12,This cafe in Greater Manchester only employs former prisoners. https://t.co/7uQhzzVCYm
12,-0.6239,Sat Apr 28 10:32:00 +0000 2018,0.719,0.281,@BBC,0.0,BBC,13,"🎤🎶Absolutely on fire! 🔥

The incredible @JessieJ performs a #GigInAMinute for #SoundsLikeFridayNight 

Watch it in… https://t.co/KAbgQz62te"
13,0.0,Sat Apr 28 10:07:26 +0000 2018,1.0,0.0,@BBC,0.0,BBC,14,RT @bbcideas: 🥚 Why nursery rhymes aren't always what they seem 🥚https://t.co/UfZnW0AUFG https://t.co/XCQCQBLTPS
14,0.1779,Sat Apr 28 10:00:12 +0000 2018,0.775,0.1,@BBC,0.125,BBC,15,"Take the politics out of it. By the numbers, what would we gain – and lose – if all firearms suddenly were wiped of… https://t.co/byYeF15IeS"
15,-0.0258,Sat Apr 28 09:00:19 +0000 2018,0.599,0.174,@BBC,0.228,BBC,16,🦈 Australian lifeguards are now using drones to help prevent shark attacks. https://t.co/HDvy0MSlVo
16,0.0,Sat Apr 28 08:00:10 +0000 2018,1.0,0.0,@BBC,0.0,BBC,17,"How does plastic actually enter our oceans? 
#OurBluePlanet  https://t.co/LdOt9inVFS"
17,-0.5267,Fri Apr 27 18:24:05 +0000 2018,0.825,0.175,@BBC,0.0,BBC,18,"Record levels of microplastics have been found trapped inside sea ice floating in the Arctic.
👉… https://t.co/TnDMONKhYD"
18,0.296,Fri Apr 27 17:23:00 +0000 2018,0.885,0.0,@BBC,0.115,BBC,19,"👏🎶Who will join saxophonist Robert Burton in the 2018 @BBCYoungMus semi-final? 

Watch the brass category final ton… https://t.co/SQwHSnaYmp"
19,0.0,Fri Apr 27 16:01:06 +0000 2018,1.0,0.0,@BBC,0.0,BBC,20,"🙌🎶 @George_Ezra. @AnneMarie. @NiallOfficial. @CHVRCHES. @Migos.

Tonight's #SoundsLikeFridayNight is going to be HU… https://t.co/13yecJuHFk"
